Date,Open,High,Low,Close,Adj Close,Volume
01/07/2022,108.336998,109.806351,107.105003,109.081001,109.081001,31028000
05/07/2022,107.514503,114.052597,106.249496,113.887001,113.887001,36398000
06/07/2022,114.092003,116.351997,112.250504,115.213501,115.213501,28852000
07/07/2022,116.008003,119.862,115.533997,119.306,119.306,32184000
08/07/2022,117.550003,120.434998,117.514,120.168503,120.168503,29082000
11/07/2022,118.650002,118.794502,116.234497,116.522499,116.522499,26718000
12/07/2022,116.838501,117.849503,114.614998,114.849503,114.849503,24970000
13/07/2022,112.639,115.156998,111.822998,112.186996,112.186996,38958000
14/07/2022,110.825996,111.987503,109.3255,111.440002,111.440002,32366000
15/07/2022,112.962997,114.000504,111.822502,112.766998,112.766998,34330000
18/07/2022,113.440002,114.800003,109.300003,109.910004,109.910004,33354000
19/07/2022,111.730003,114.809998,110.5,114.620003,114.620003,30992300
20/07/2022,114.059998,116.330002,113.260002,114.699997,114.699997,26780100
21/07/2022,115.089996,115.209999,111.910004,115.040001,115.040001,27267800
22/07/2022,111.809998,113.18,107.599998,108.360001,108.360001,44455300
25/07/2022,108.879997,110.580002,107.010002,108.209999,108.209999,28289900
26/07/2022,107.43,107.739998,104.760002,105.440002,105.440002,36626600
27/07/2022,109.599998,114.400002,108.419998,113.599998,113.599998,41474600
28/07/2022,112.800003,114.699997,111.850998,114.589996,114.589996,23303800
29/07/2022,113.400002,116.900002,113.230003,116.639999,116.639999,31336200
01/08/2022,115.529999,117.120003,114.690002,115.480003,115.480003,22856200
02/08/2022,114.43,117.080002,114.260002,115.900002,115.900002,17911000
03/08/2022,116.339996,119.419998,116.150002,118.779999,118.779999,25302800
04/08/2022,118.300003,119.5,117.709999,118.870003,118.870003,15757700
05/08/2022,116.93,118.860001,116.709999,118.220001,118.220001,15615700
08/08/2022,119.120003,120.860001,117.830002,118.139999,118.139999,17061100
09/08/2022,117.989998,118.199997,116.559998,117.5,117.5,15424300
10/08/2022,119.589996,121.779999,119.360001,120.650002,120.650002,20497000
11/08/2022,122.080002,122.339996,119.550003,119.82,119.82,16671600
12/08/2022,121.160004,122.650002,120.400002,122.650002,122.650002,16121100
15/08/2022,122.209999,123.260002,121.57,122.879997,122.879997,15525000
16/08/2022,122.32,123.227997,121.535004,122.510002,122.510002,15626200
17/08/2022,120.93,122.150002,120.199997,120.32,120.32,17589200
18/08/2022,120.230003,121.690002,119.550003,120.860001,120.860001,15652000
19/08/2022,119.870003,120,117.669998,118.120003,118.120003,20187000
22/08/2022,116.099998,116.5,114.669998,115.07,115.07,19316000
23/08/2022,114.32,115.93,114.300003,114.769997,114.769997,14390700
24/08/2022,114.449997,115.717003,113.779999,114.699997,114.699997,16051200
25/08/2022,115.150002,117.779999,115.050003,117.699997,117.699997,14874700
26/08/2022,115.809998,116.599998,111.220001,111.300003,111.300003,31698700
29/08/2022,110.779999,111.959999,109.809998,110.339996,110.339996,20386100
30/08/2022,111.029999,111.370003,108.800003,109.910004,109.910004,20548200
31/08/2022,111.629997,111.769997,109.050003,109.150002,109.150002,25898000
01/09/2022,109.199997,111.220001,108.190002,110.550003,110.550003,22784400
02/09/2022,111.339996,111.675003,108.129997,108.68,108.68,20618100
06/09/2022,108.135002,108.879997,106.510002,107.480003,107.480003,20565100
07/09/2022,107.760002,110.989998,107.614998,110.480003,110.480003,22987200
08/09/2022,109.18,110.580002,108.059998,109.419998,109.419998,21660700
09/09/2022,110.050003,112,110,111.779999,111.779999,21732900
12/09/2022,111.989998,112.639999,110.93,111.870003,111.870003,19732900
13/09/2022,108.889999,109.370003,105,105.309998,105.309998,33015000
14/09/2022,105.440002,106.099998,104.5,105.870003,105.870003,22115800
15/09/2022,105.010002,106.209999,103.309998,103.900002,103.900002,26494900
16/09/2022,102.970001,104.029999,101.855003,103.629997,103.629997,64540100
19/09/2022,102.540001,104.019997,102.370003,103.849998,103.849998,19738600
20/09/2022,102.879997,103.169998,101.120003,101.830002,101.830002,24001700
21/09/2022,102.239998,103.489998,99.989998,100.010002,100.010002,26596800
22/09/2022,99.449997,101.68,99.410004,100.57,100.57,21272700
23/09/2022,100.059998,100.110001,98.010002,99.169998,99.169998,25657000
26/09/2022,98.610001,100.440002,98.379997,98.809998,98.809998,22437900
27/09/2022,99.910004,100.459999,97.339996,98.089996,98.089996,24225000
28/09/2022,98.019997,101.400002,97.800003,100.739998,100.739998,24617000
29/09/2022,99.300003,99.300003,96.519997,98.089996,98.089996,21921500
30/09/2022,97.730003,99.494003,96.029999,96.150002,96.150002,26277800
03/10/2022,97.220001,99.970001,97.019997,99.300003,99.300003,24840000
04/10/2022,101.040001,102.720001,101.040001,102.410004,102.410004,22580900
05/10/2022,100.690002,102.739998,99.739998,102.220001,102.220001,18475500
06/10/2022,101.5,103.730003,101.5,102.239998,102.239998,17156200
07/10/2022,100.650002,101.419998,99.209999,99.57,99.57,24249900
10/10/2022,99.849998,99.989998,97.870003,98.709999,98.709999,16529900
11/10/2022,98.25,100.120003,97.25,98.050003,98.050003,21617700
12/10/2022,98.269997,99.648003,97.669998,98.300003,98.300003,17343400
13/10/2022,95.93,100.529999,95.269997,99.709999,99.709999,32812200
14/10/2022,100.625,101.290001,97.029999,97.18,97.18,22624800
17/10/2022,99.519997,101.769997,99.510002,100.779999,100.779999,23311600
18/10/2022,103.940002,104.220001,100.650002,101.389999,101.389999,21610500
19/10/2022,100.699997,101.658997,99.635002,100.290001,100.290001,21573700
20/10/2022,100.82,103,99.970001,100.529999,100.529999,25125100
21/10/2022,98.459999,101.620003,98.230003,101.480003,101.480003,28988700
24/10/2022,102.089996,103.099998,100.300003,102.970001,102.970001,24680800
25/10/2022,103.300003,105.099998,103.019997,104.93,104.93,29910200
26/10/2022,96.760002,98.540001,94.57,94.82,94.82,71504300
27/10/2022,94.309998,95.169998,91.900002,92.599998,92.599998,54036500
28/10/2022,92.529999,96.860001,92.322998,96.580002,96.580002,35696900
31/10/2022,95.779999,96.349998,94.379997,94.660004,94.660004,29868700
01/11/2022,95.589996,96.165001,90.43,90.5,90.5,43220600
02/11/2022,90.910004,91.300003,87.010002,87.07,87.07,43553600
03/11/2022,86.345001,86.550003,83.449997,83.489998,83.489998,48510400
04/11/2022,85.510002,86.730003,83.879997,86.699997,86.699997,40173300
07/11/2022,87.339996,88.940002,86.959999,88.650002,88.650002,26899900
08/11/2022,89.160004,90.404999,87.650002,88.910004,88.910004,30172000
09/11/2022,88.544998,89.489998,87.360001,87.400002,87.400002,26743900
10/11/2022,92.339996,94.550003,91.650002,94.169998,94.169998,42371200
11/11/2022,94.709999,97.360001,94.160004,96.730003,96.730003,30569100
14/11/2022,95.5,97.18,95.112999,96.029999,96.029999,24170100
15/11/2022,98.669998,100.419998,97.019997,98.720001,98.720001,31831000
16/11/2022,98.019997,99.849998,97.902,98.989998,98.989998,24660200
17/11/2022,97.18,99.480003,97.099998,98.5,98.5,21818700
18/11/2022,99.010002,99.160004,96.739998,97.800003,97.800003,24969900
21/11/2022,97.559998,98.720001,95.669998,95.830002,95.830002,18696900
22/11/2022,96.160004,97.547997,94.410004,97.330002,97.330002,18868900
23/11/2022,97.339996,99.069,97.339996,98.82,98.82,17568900
25/11/2022,98.464996,98.940002,97.529999,97.599998,97.599998,8567800
28/11/2022,97.199997,97.830002,95.889999,96.25,96.25,19974500
29/11/2022,96,96.389999,94.389999,95.440002,95.440002,20220000
30/11/2022,95.120003,101.449997,94.669998,101.449997,101.449997,39888100
01/12/2022,101.400002,102.589996,100.669998,101.279999,101.279999,21771500
02/12/2022,99.370003,101.150002,99.169998,100.830002,100.830002,18821500
05/12/2022,99.815002,101.75,99.355003,99.870003,99.870003,19955500
06/12/2022,99.669998,100.209999,96.760002,97.309998,97.309998,20877600
07/12/2022,96.769997,97.309998,95.025002,95.150002,95.150002,26647900
08/12/2022,95.690002,95.870003,93.800003,93.949997,93.949997,25593200
09/12/2022,93.900002,94.489998,93.019997,93.07,93.07,21885300
12/12/2022,93.089996,93.875,91.900002,93.559998,93.559998,27380900
13/12/2022,98.07,99.800003,95.379997,95.849998,95.849998,34788500
14/12/2022,95.540001,97.220001,93.940002,95.309998,95.309998,26452900
15/12/2022,93.540001,94.029999,90.43,91.199997,91.199997,28298800
16/12/2022,91.199997,91.75,90.010002,90.860001,90.860001,48485500
19/12/2022,90.879997,91.199997,88.925003,89.150002,89.150002,23020500
20/12/2022,88.730003,89.779999,88.040001,89.629997,89.629997,21976800
21/12/2022,89.730003,90.915001,88.910004,90.25,90.25,20336400
22/12/2022,88.93,89.18,86.940002,88.260002,88.260002,23656100
23/12/2022,87.620003,90.099998,87.620003,89.809998,89.809998,17815000
27/12/2022,89.309998,89.5,87.535004,87.93,87.93,15470900
28/12/2022,87.5,88.519997,86.370003,86.459999,86.459999,17879600
